user_id,signup_date,country,device_type,acquisition_channel,user_type,company_size,experiment_group
U00105,2025-04-10,India,Mobile,LinkedIn Ads,Individual,1,A
U00106,2025-06-22,Canada,Mobile,Organic,Business,147,A
U00107,2025-04-20,Australia,Tablet,Google Ads,Business,273,B
U00108,2025-03-13,UK,Mobile,Google Ads,Individual,1,A
U00109,2025-05-06,USA,Desktop,Google Ads,Individual,1,A
U00110,2025-02-18,UK,Tablet,LinkedIn Ads,Business,18,A
U00111,2025-05-16,USA,Tablet,Google Ads,Business,404,A
U00112,2025-04-05,Australia,Mobile,Direct,Individual,1,A
U00113,2025-03-31,USA,Desktop,LinkedIn Ads,Business,296,B
U00114,2025-02-17,UK,Tablet,Direct,Individual,1,A
U00115,2025-06-16,USA,Desktop,Organic,Business,86,B
U00116,2025-06-29,Canada,Desktop,Google Ads,Individual,1,B
U00117,2025-03-23,Canada,Tablet,Direct,Business,167,B
U00118,2025-04-15,USA,Desktop,Organic,Individual,1,B
U00119,2025-01-27,USA,Mobile,LinkedIn Ads,Business,446,B
U00120,2025-01-09,Canada,Mobile,Direct,Business,74,B
U00121,2025-04-04,Canada,Tablet,LinkedIn Ads,Individual,1,B
U00122,2025-04-10,Australia,Desktop,LinkedIn Ads,Business,257,B
U00123,2025-05-25,Canada,Desktop,LinkedIn Ads,Business,126,A
U00124,2025-03-08,UK,Mobile,Organic,Individual,1,B
U00125,2025-02-08,Canada,Tablet,Google Ads,Business,313,B
U00126,2025-05-19,India,Mobile,LinkedIn Ads,Individual,1,B
U00127,2025-06-29,Australia,Tablet,Google Ads,Business,338,A
U00128,2025-01-23,Australia,Tablet,Google Ads,Business,226,A
U00129,2025-06-19,USA,Desktop,Organic,Individual,1,B
U00130,2025-06-24,Canada,Tablet,Referral,Business,117,A
U00131,2025-03-13,USA,Tablet,Google Ads,Business,439,A
U00132,2025-05-09,UK,Mobile,Organic,Business,218,A
U00133,2025-05-23,India,Mobile,Referral,Business,440,A
U00134,2025-06-10,India,Desktop,Organic,Business,328,B
U00135,2025-03-14,USA,Desktop,Direct,Business,268,A
U00136,2025-01-10,Canada,Tablet,LinkedIn Ads,Business,485,A
U00137,2025-01-18,UK,Mobile,LinkedIn Ads,Business,353,A
U00138,2025-06-12,India,Desktop,Direct,Business,119,A
U00139,2025-04-14,Canada,Desktop,Direct,Business,429,B
U00140,2025-06-21,Australia,Tablet,Direct,Business,6,A
U00141,2025-04-07,Canada,Tablet,LinkedIn Ads,Business,18,B
U00142,2025-04-05,Canada,Mobile,LinkedIn Ads,Individual,1,A
U00143,2025-05-11,Australia,Desktop,Organic,Individual,1,B
U00144,2025-06-04,Canada,Mobile,Organic,Individual,1,B
U00145,2025-05-01,Australia,Desktop,LinkedIn Ads,Individual,1,A
U00146,2025-01-06,India,Tablet,Direct,Individual,1,B
U00147,2025-06-11,India,Mobile,Google Ads,Business,52,A
U00148,2025-01-14,UK,Mobile,Organic,Business,116,A
U00149,2025-03-05,USA,Desktop,Direct,Individual,1,B
U00150,2025-05-05,UK,Desktop,Google Ads,Individual,1,A
U00151,2025-03-19,USA,Desktop,Direct,Business,336,B
U00152,2025-02-19,UK,Mobile,Referral,Business,54,A
U00153,2025-03-16,UK,Tablet,Referral,Business,473,B
U00154,2025-04-10,UK,Desktop,Referral,Individual,1,B
U00155,2025-01-01,India,Desktop,LinkedIn Ads,Individual,1,B
U00156,2025-01-25,UK,Tablet,Organic,Individual,1,B
U00157,2025-05-02,Australia,Mobile,Organic,Individual,1,A
U00158,2025-06-03,UK,Mobile,Organic,Individual,1,A
U00159,2025-04-07,USA,Desktop,Referral,Individual,1,A
U00160,2025-05-17,India,Tablet,Direct,Individual,1,A
U00161,2025-05-19,Australia,Mobile,LinkedIn Ads,Individual,1,B
U00162,2025-04-21,India,Tablet,Google Ads,Individual,1,A
U00163,2025-01-06,UK,Mobile,Direct,Individual,1,A
U00164,2025-05-19,Australia,Desktop,Referral,Individual,1,A
U00165,2025-06-30,Australia,Desktop,Google Ads,Business,114,A
U00166,2025-01-30,Canada,Mobile,Google Ads,Individual,1,A
U00167,2025-02-01,Canada,Mobile,Direct,Business,431,B
U00168,2025-05-01,India,Desktop,Direct,Individual,1,B
U00169,2025-01-23,UK,Desktop,Google Ads,Business,202,A
U00170,2025-02-25,UK,Desktop,Direct,Business,251,B
U00171,2025-04-18,UK,Desktop,Organic,Individual,1,A
U00172,2025-01-19,UK,Tablet,Organic,Business,330,B
U00173,2025-03-01,USA,Desktop,LinkedIn Ads,Individual,1,B
U00174,2025-06-28,USA,Mobile,Direct,Individual,1,B
U00175,2025-02-07,Australia,Mobile,Referral,Business,438,B
U00176,2025-03-30,India,Tablet,Organic,Business,24,A
U00177,2025-06-07,Canada,Mobile,Referral,Business,50,B
U00178,2025-03-02,India,Mobile,LinkedIn Ads,Individual,1,B
U00179,2025-04-02,Canada,Mobile,Organic,Individual,1,B
U00180,2025-04-16,Canada,Mobile,Organic,Business,82,A
U00181,2025-06-09,India,Mobile,Direct,Business,221,B
U00182,2025-05-15,USA,Mobile,LinkedIn Ads,Business,282,B
U00183,2025-06-06,India,Tablet,LinkedIn Ads,Individual,1,A
U00184,2025-03-24,Canada,Tablet,Referral,Individual,1,A
U00185,2025-03-15,UK,Tablet,Organic,Individual,1,B
U00186,2025-02-09,Australia,Mobile,Direct,Individual,1,B
U00187,2025-03-03,USA,Tablet,Referral,Business,10,B
U00188,2025-05-25,Canada,Mobile,Referral,Individual,1,A
U00189,2025-04-12,Canada,Tablet,Direct,Business,65,A
U00190,2025-04-06,UK,Tablet,Google Ads,Individual,1,A
U00191,2025-03-22,Australia,Mobile,LinkedIn Ads,Individual,1,B
U00192,2025-06-21,Australia,Tablet,Referral,Business,464,B
U00193,2025-03-22,UK,Mobile,Organic,Individual,1,A
U00194,2025-04-10,UK,Desktop,Referral,Individual,1,B
U00195,2025-01-18,USA,Desktop,Direct,Business,431,B
U00196,2025-06-25,Canada,Desktop,Organic,Business,487,A
U00197,2025-04-12,India,Mobile,Organic,Individual,1,A
U00198,2025-06-24,Canada,Desktop,Google Ads,Business,387,A
U00199,2025-04-13,UK,Mobile,Organic,Individual,1,B
U00200,2025-02-15,Canada,Desktop,Direct,Business,411,B
U00201,2025-04-07,India,Desktop,Referral,Individual,1,B
U00202,2025-02-05,Canada,Mobile,LinkedIn Ads,Individual,1,B
U00203,2025-01-04,Australia,Mobile,Google Ads,Business,314,A
U00204,2025-06-09,India,Tablet,Referral,Business,336,B
U00205,2025-04-03,Canada,Desktop,Referral,Individual,1,B
U00206,2025-05-27,Australia,Mobile,Google Ads,Business,10,B
U00207,2025-06-20,UK,Mobile,Google Ads,Business,257,A
U00208,2025-06-11,USA,Mobile,Direct,Individual,1,A
U00209,2025-01-13,India,Mobile,Google Ads,Business,285,B
U00210,2025-04-23,USA,Tablet,Referral,Business,187,B
U00211,2025-04-07,Australia,Tablet,Direct,Business,381,A
U00212,2025-03-06,UK,Mobile,LinkedIn Ads,Individual,1,B
U00213,2025-06-03,India,Desktop,LinkedIn Ads,Individual,1,B
U00214,2025-05-15,USA,Mobile,Organic,Business,296,B
U00215,2025-05-25,USA,Tablet,Referral,Individual,1,B
U00216,2025-03-12,UK,Desktop,Referral,Business,178,A
U00217,2025-04-03,Australia,Mobile,Google Ads,Individual,1,A
U00218,2025-06-18,UK,Desktop,Google Ads,Business,365,B
U00219,2025-04-10,Canada,Desktop,Organic,Individual,1,A
U00220,2025-01-27,India,Tablet,Google Ads,Individual,1,A
U00221,2025-02-22,USA,Tablet,Referral,Business,291,A
U00222,2025-03-12,UK,Mobile,Organic,Business,130,B
U00223,2025-06-24,USA,Tablet,Referral,Business,433,A
U00224,2025-04-25,Canada,Tablet,Referral,Individual,1,A
U00225,2025-05-15,India,Mobile,Direct,Individual,1,A
U00226,2025-06-27,Canada,Desktop,LinkedIn Ads,Business,126,B
U00227,2025-04-13,UK,Mobile,LinkedIn Ads,Individual,1,B
U00228,2025-05-27,USA,Tablet,Direct,Business,176,B
U00229,2025-04-25,Canada,Desktop,Referral,Business,430,A
U00230,2025-05-16,USA,Desktop,Direct,Business,140,A
U00231,2025-05-17,USA,Desktop,LinkedIn Ads,Individual,1,A
U00232,2025-05-15,India,Mobile,LinkedIn Ads,Individual,1,B
U00233,2025-05-30,USA,Desktop,Referral,Business,304,B
U00234,2025-06-19,India,Tablet,Organic,Individual,1,B
U00235,2025-01-20,Canada,Mobile,Referral,Business,82,B
U00236,2025-04-22,USA,Desktop,Referral,Individual,1,B
U00237,2025-06-24,Australia,Desktop,Referral,Individual,1,A
U00238,2025-06-14,USA,Mobile,Direct,Business,266,A
U00239,2025-02-02,Australia,Mobile,Organic,Business,29,B
U00240,2025-03-31,India,Mobile,Google Ads,Business,29,A
U00241,2025-02-10,Canada,Desktop,Organic,Individual,1,A
U00242,2025-06-04,USA,Mobile,Organic,Business,41,B
U00243,2025-05-27,UK,Desktop,Organic,Business,20,A
U00244,2025-04-12,India,Desktop,LinkedIn Ads,Business,327,A
U00245,2025-04-15,Canada,Mobile,Google Ads,Individual,1,A
U00246,2025-02-14,Australia,Mobile,Direct,Business,98,A
U00247,2025-03-22,USA,Desktop,Organic,Business,337,A
U00248,2025-06-22,India,Desktop,Referral,Individual,1,B
U00249,2025-02-23,USA,Desktop,Organic,Business,387,B
U00250,2025-02-23,India,Desktop,Referral,Individual,1,A
U00251,2025-01-17,Australia,Tablet,LinkedIn Ads,Individual,1,B
U00252,2025-01-17,Australia,Mobile,Referral,Business,290,A
U00253,2025-06-03,India,Tablet,Organic,Business,11,A
U00254,2025-02-15,Australia,Mobile,Referral,Business,403,A
U00255,2025-01-10,USA,Mobile,Referral,Business,98,A
U00256,2025-03-20,USA,Tablet,Referral,Individual,1,B
U00257,2025-02-19,USA,Tablet,Referral,Individual,1,B
U00258,2025-04-06,Canada,Desktop,Google Ads,Individual,1,B
U00259,2025-06-04,Australia,Desktop,Organic,Individual,1,B
U00260,2025-06-11,India,Tablet,Referral,Individual,1,A
U00261,2025-06-02,Canada,Desktop,LinkedIn Ads,Business,398,B
U00262,2025-06-20,India,Tablet,LinkedIn Ads,Individual,1,A
U00263,2025-02-20,UK,Mobile,Referral,Individual,1,B
U00264,2025-01-08,USA,Desktop,Google Ads,Business,461,A
U00265,2025-03-04,Canada,Mobile,Google Ads,Individual,1,A
U00266,2025-02-05,Australia,Desktop,Google Ads,Business,84,A
U00267,2025-04-10,India,Desktop,Google Ads,Individual,1,B
U00268,2025-06-09,USA,Tablet,LinkedIn Ads,Business,443,B
U00269,2025-03-08,UK,Mobile,LinkedIn Ads,Business,15,B
U00270,2025-06-13,USA,Tablet,Google Ads,Individual,1,A
U00271,2025-01-01,USA,Desktop,Google Ads,Individual,1,A
U00272,2025-01-07,USA,Desktop,LinkedIn Ads,Business,451,A
U00273,2025-01-17,India,Tablet,Google Ads,Individual,1,B
U00274,2025-04-29,India,Desktop,Google Ads,Individual,1,B
U00275,2025-01-31,UK,Mobile,Direct,Business,332,B
U00276,2025-02-01,UK,Desktop,LinkedIn Ads,Individual,1,A
U00277,2025-06-08,Canada,Tablet,Google Ads,Business,298,B
U00278,2025-06-20,UK,Desktop,Google Ads,Business,68,B
U00279,2025-02-14,India,Tablet,LinkedIn Ads,Individual,1,A
U00280,2025-01-21,UK,Desktop,Organic,Business,178,B
U00281,2025-05-08,India,Mobile,LinkedIn Ads,Individual,1,B
U00282,2025-03-19,India,Desktop,Organic,Business,304,A
U00283,2025-05-24,Australia,Mobile,LinkedIn Ads,Individual,1,B
U00284,2025-04-18,UK,Desktop,LinkedIn Ads,Business,192,B
U00285,2025-01-16,Australia,Tablet,LinkedIn Ads,Business,21,B
U00286,2025-03-12,UK,Tablet,Google Ads,Business,164,A
U00287,2025-03-08,Canada,Mobile,Google Ads,Individual,1,A
U00288,2025-02-23,India,Tablet,Direct,Individual,1,A
U00289,2025-03-03,Australia,Mobile,Organic,Individual,1,B
U00290,2025-06-13,Canada,Mobile,Google Ads,Individual,1,A
U00291,2025-02-14,Canada,Mobile,LinkedIn Ads,Individual,1,A
U00292,2025-06-17,USA,Desktop,Referral,Individual,1,A
U00293,2025-05-09,India,Tablet,Organic,Individual,1,A
U00294,2025-02-28,Australia,Tablet,Referral,Individual,1,B
U00295,2025-04-21,UK,Tablet,Referral,Individual,1,B
U00296,2025-01-16,India,Desktop,Google Ads,Business,441,B
U00297,2025-03-29,Canada,Desktop,Direct,Individual,1,B
U00298,2025-05-20,Canada,Tablet,Referral,Individual,1,A
U00299,2025-03-01,UK,Tablet,LinkedIn Ads,Business,440,B
U00300,2025-03-16,Australia,Tablet,Organic,Business,299,B
U00301,2025-06-17,Canada,Desktop,LinkedIn Ads,Business,262,B
U00302,2025-03-18,USA,Mobile,Google Ads,Business,81,A
U00303,2025-01-08,Australia,Mobile,Direct,Business,452,B
U00304,2025-01-20,Australia,Mobile,Referral,Individual,1,B
U00305,2025-06-05,Australia,Mobile,Organic,Individual,1,A
U00306,2025-01-14,Canada,Tablet,Referral,Individual,1,A
U00307,2025-01-15,Australia,Tablet,Google Ads,Business,1,A
U00308,2025-05-15,Australia,Tablet,Google Ads,Business,343,B
U00309,2025-03-05,Australia,Mobile,LinkedIn Ads,Business,95,A
U00310,2025-03-05,Canada,Desktop,Direct,Individual,1,A
U00311,2025-01-26,USA,Mobile,Google Ads,Individual,1,A
U00312,2025-01-12,Canada,Tablet,Direct,Business,297,A
U00313,2025-05-10,Canada,Tablet,Direct,Business,339,A
U00314,2025-05-16,India,Tablet,Google Ads,Individual,1,A
U00315,2025-03-17,Australia,Mobile,LinkedIn Ads,Individual,1,A
U00316,2025-01-27,UK,Desktop,Referral,Business,227,B
U00317,2025-05-29,India,Mobile,LinkedIn Ads,Individual,1,B
U00318,2025-01-30,India,Desktop,Referral,Business,153,B
U00319,2025-02-11,Australia,Mobile,Referral,Business,45,B
U00320,2025-01-07,India,Tablet,Direct,Business,66,B
U00321,2025-05-15,USA,Tablet,Organic,Individual,1,A
U00322,2025-05-20,Australia,Desktop,LinkedIn Ads,Business,220,B
U00323,2025-01-03,USA,Desktop,LinkedIn Ads,Business,25,B
U00324,2025-02-08,UK,Mobile,Google Ads,Business,423,A
U00325,2025-01-20,USA,Tablet,Google Ads,Individual,1,A
U00326,2025-01-03,India,Desktop,LinkedIn Ads,Business,470,A
U00327,2025-03-27,UK,Desktop,Organic,Business,373,A
U00328,2025-01-13,India,Desktop,Referral,Individual,1,A
U00329,2025-03-25,India,Mobile,Referral,Individual,1,A
U00330,2025-01-02,USA,Tablet,LinkedIn Ads,Individual,1,A
U00331,2025-04-07,India,Mobile,Google Ads,Individual,1,B
U00332,2025-02-14,USA,Desktop,Direct,Individual,1,A
U00333,2025-01-23,Canada,Tablet,Google Ads,Business,483,B
U00334,2025-04-05,UK,Mobile,Referral,Business,60,B
U00335,2025-05-31,Canada,Tablet,Direct,Business,469,B
U00336,2025-06-16,Canada,Desktop,Organic,Individual,1,A
U00337,2025-03-17,UK,Desktop,Google Ads,Business,379,A
U00338,2025-04-29,Canada,Mobile,Google Ads,Business,236,B
U00339,2025-05-31,USA,Mobile,Direct,Business,252,B
U00340,2025-03-07,USA,Desktop,Referral,Business,4,B
U00341,2025-02-05,UK,Desktop,Organic,Business,127,A
U00342,2025-04-08,UK,Tablet,Direct,Individual,1,A
U00343,2025-06-13,USA,Tablet,Referral,Individual,1,B
U00344,2025-02-07,India,Desktop,LinkedIn Ads,Individual,1,B
U00345,2025-06-19,USA,Tablet,Direct,Individual,1,A
U00346,2025-03-29,Canada,Tablet,Google Ads,Individual,1,B
U00347,2025-04-05,UK,Tablet,Google Ads,Individual,1,A
U00348,2025-06-21,UK,Desktop,Direct,Individual,1,B
U00349,2025-01-07,Canada,Tablet,LinkedIn Ads,Individual,1,A
U00350,2025-03-18,UK,Desktop,Referral,Individual,1,B
U00351,2025-01-15,India,Tablet,Referral,Individual,1,B
U00352,2025-01-19,Canada,Desktop,Referral,Business,231,A
U00353,2025-05-11,India,Tablet,Referral,Business,397,B
U00354,2025-06-13,Canada,Desktop,Organic,Individual,1,A
U00355,2025-05-06,India,Tablet,LinkedIn Ads,Individual,1,B
U00356,2025-05-13,UK,Tablet,Google Ads,Business,420,A
U00357,2025-05-20,Canada,Tablet,Direct,Business,68,A
U00358,2025-05-19,India,Tablet,LinkedIn Ads,Business,131,B
U00359,2025-05-16,Canada,Desktop,Organic,Individual,1,A
U00360,2025-04-20,USA,Desktop,Google Ads,Business,201,B
U00361,2025-03-19,India,Mobile,LinkedIn Ads,Business,42,A
U00362,2025-05-29,India,Mobile,LinkedIn Ads,Individual,1,B
U00363,2025-01-22,Canada,Mobile,Google Ads,Business,33,B
U00364,2025-01-25,UK,Desktop,Direct,Individual,1,A
U00365,2025-03-12,Canada,Desktop,Organic,Individual,1,B
U00366,2025-04-08,Australia,Mobile,Organic,Individual,1,B
U00367,2025-05-28,Canada,Desktop,Referral,Individual,1,B
U00368,2025-06-25,India,Tablet,LinkedIn Ads,Business,118,B
U00369,2025-01-12,India,Desktop,Referral,Individual,1,A
U00370,2025-04-16,USA,Desktop,Organic,Business,203,B
U00371,2025-03-03,Australia,Tablet,LinkedIn Ads,Business,469,A
U00372,2025-06-16,Australia,Mobile,LinkedIn Ads,Individual,1,A
U00373,2025-03-23,India,Tablet,Organic,Individual,1,B
U00374,2025-05-10,USA,Desktop,Google Ads,Business,100,A
U00375,2025-02-15,Canada,Desktop,Direct,Business,177,B
U00376,2025-01-03,USA,Desktop,Google Ads,Business,409,A
U00377,2025-01-25,USA,Desktop,Direct,Individual,1,B
U00378,2025-04-08,Australia,Tablet,Referral,Business,249,A
U00379,2025-06-19,USA,Mobile,Google Ads,Business,324,A
U00380,2025-01-07,UK,Mobile,Referral,Business,317,B
U00381,2025-02-17,UK,Tablet,Referral,Individual,1,A
U00382,2025-01-08,Australia,Mobile,LinkedIn Ads,Business,284,A
U00383,2025-02-17,UK,Mobile,Referral,Business,214,A
U00384,2025-06-14,India,Mobile,LinkedIn Ads,Individual,1,A
U00385,2025-06-02,USA,Tablet,Organic,Business,259,B
U00386,2025-02-01,India,Tablet,Organic,Business,265,A
U00387,2025-01-07,UK,Mobile,Referral,Individual,1,B
U00388,2025-03-26,Canada,Tablet,LinkedIn Ads,Business,185,B
U00389,2025-01-24,UK,Tablet,Referral,Business,347,A
U00390,2025-04-18,Canada,Mobile,Google Ads,Individual,1,A
U00391,2025-05-27,UK,Tablet,Organic,Individual,1,B
U00392,2025-02-03,India,Mobile,Organic,Individual,1,B
U00393,2025-04-05,USA,Tablet,LinkedIn Ads,Individual,1,B
U00394,2025-04-02,Australia,Mobile,Organic,Business,350,A
U00395,2025-03-13,Australia,Mobile,Direct,Individual,1,B
U00396,2025-06-30,UK,Desktop,Direct,Business,137,A
U00397,2025-02-12,Australia,Mobile,LinkedIn Ads,Individual,1,B
U00398,2025-01-04,Australia,Mobile,Organic,Individual,1,B
U00399,2025-01-11,Australia,Tablet,Referral,Individual,1,B
U00400,2025-05-29,India,Tablet,Referral,Individual,1,A
U00401,2025-06-19,Australia,Tablet,Referral,Individual,1,A
U00402,2025-02-11,Australia,Mobile,Direct,Individual,1,A
U00403,2025-04-08,UK,Tablet,Referral,Business,404,A
U00404,2025-06-18,India,Tablet,LinkedIn Ads,Business,109,B
U00405,2025-06-19,UK,Tablet,Referral,Business,77,B
U00406,2025-05-20,UK,Mobile,Direct,Business,101,B
U00407,2025-03-14,India,Desktop,Referral,Business,143,B
U00408,2025-01-18,USA,Desktop,LinkedIn Ads,Business,254,A
U00409,2025-06-28,Australia,Mobile,Referral,Individual,1,A
U00410,2025-06-14,India,Mobile,Organic,Business,395,B
U00411,2025-05-06,UK,Desktop,Direct,Individual,1,B
U00412,2025-01-29,India,Tablet,Direct,Business,226,A
U00413,2025-03-31,USA,Mobile,Organic,Business,435,A
U00414,2025-01-29,UK,Tablet,Referral,Individual,1,A
U00415,2025-06-01,India,Desktop,Organic,Individual,1,B
U00416,2025-06-23,UK,Tablet,Organic,Business,199,A
U00417,2025-01-06,India,Desktop,Google Ads,Business,197,A
U00418,2025-02-08,India,Mobile,LinkedIn Ads,Individual,1,A
U00419,2025-02-06,Canada,Mobile,Direct,Business,14,A
U00420,2025-05-05,India,Desktop,Organic,Individual,1,B
U00421,2025-05-14,Australia,Mobile,Google Ads,Business,118,B
U00422,2025-04-20,Canada,Desktop,Organic,Business,100,B
U00423,2025-05-05,India,Tablet,Google Ads,Business,304,B
U00424,2025-04-16,India,Mobile,Organic,Business,71,A
U00425,2025-04-16,USA,Tablet,LinkedIn Ads,Business,343,A
U00426,2025-06-21,UK,Tablet,LinkedIn Ads,Business,289,A
U00427,2025-01-28,UK,Mobile,Direct,Individual,1,B
U00428,2025-05-14,UK,Mobile,Direct,Individual,1,A
U00429,2025-01-07,Australia,Tablet,Direct,Individual,1,B
U00430,2025-05-08,Canada,Tablet,Referral,Individual,1,A
