event_id,user_id,event_date,funnel_stage
E000244,U00070,2025-01-05,Trial Started
E000245,U00070,2025-01-09,Feature Used
E000246,U00070,2025-01-09,Subscription Purchased
E000247,U00070,2025-01-08,Retained 30 Days
E000248,U00071,2025-05-01,Signup
E000249,U00071,2025-05-01,Email Verified
E000250,U00071,2025-05-02,Trial Started
E000251,U00071,2025-05-01,Feature Used
E000252,U00071,2025-05-01,Subscription Purchased
E000253,U00071,2025-05-04,Retained 30 Days
E000254,U00072,2025-05-22,Signup
E000255,U00072,2025-05-24,Email Verified
E000256,U00073,2025-02-21,Signup
E000257,U00074,2025-02-09,Signup
E000258,U00074,2025-02-09,Email Verified
E000259,U00074,2025-02-15,Trial Started
E000260,U00074,2025-02-16,Feature Used
E000261,U00074,2025-02-12,Subscription Purchased
E000262,U00074,2025-02-14,Retained 30 Days
E000263,U00075,2025-04-18,Signup
E000264,U00075,2025-04-15,Email Verified
E000265,U00075,2025-04-17,Trial Started
E000266,U00075,2025-04-16,Feature Used
E000267,U00075,2025-04-17,Subscription Purchased
E000268,U00076,2025-03-12,Signup
E000269,U00076,2025-03-15,Email Verified
E000270,U00076,2025-03-17,Trial Started
E000271,U00076,2025-03-18,Feature Used
E000272,U00076,2025-03-16,Subscription Purchased
E000273,U00077,2025-05-17,Signup
E000274,U00077,2025-05-18,Email Verified
E000275,U00077,2025-05-19,Trial Started
E000276,U00077,2025-05-22,Feature Used
E000277,U00077,2025-05-21,Subscription Purchased
E000278,U00077,2025-05-24,Retained 30 Days
E000279,U00078,2025-03-16,Signup
E000280,U00079,2025-01-17,Signup
E000281,U00079,2025-01-17,Email Verified
E000282,U00079,2025-01-23,Trial Started
E000283,U00080,2025-01-04,Signup
E000284,U00081,2025-04-16,Signup
E000285,U00081,2025-04-13,Email Verified
E000286,U00081,2025-04-17,Trial Started
E000287,U00081,2025-04-19,Feature Used
E000288,U00081,2025-04-21,Subscription Purchased
E000289,U00081,2025-04-17,Retained 30 Days
E000290,U00082,2025-05-30,Signup
E000291,U00082,2025-06-05,Email Verified
E000292,U00082,2025-06-02,Trial Started
E000293,U00082,2025-06-05,Feature Used
E000294,U00082,2025-06-06,Subscription Purchased
E000295,U00083,2025-01-16,Signup
E000296,U00083,2025-01-18,Email Verified
E000297,U00083,2025-01-21,Trial Started
E000298,U00084,2025-02-26,Signup
E000299,U00085,2025-03-30,Signup
E000300,U00085,2025-03-29,Email Verified
E000301,U00085,2025-04-02,Trial Started
E000302,U00086,2025-04-07,Signup
E000303,U00086,2025-04-08,Email Verified
E000304,U00086,2025-04-14,Trial Started
E000305,U00087,2025-01-10,Signup
E000306,U00087,2025-01-08,Email Verified
E000307,U00087,2025-01-12,Trial Started
E000308,U00087,2025-01-12,Feature Used
E000309,U00087,2025-01-16,Subscription Purchased
E000310,U00088,2025-06-25,Signup
E000311,U00088,2025-06-26,Email Verified
E000312,U00088,2025-06-28,Trial Started
E000313,U00088,2025-06-27,Feature Used
E000314,U00088,2025-06-28,Subscription Purchased
E000315,U00089,2025-03-08,Signup
E000316,U00089,2025-03-05,Email Verified
E000317,U00089,2025-03-09,Trial Started
E000318,U00089,2025-03-07,Feature Used
E000319,U00089,2025-03-09,Subscription Purchased
E000320,U00089,2025-03-10,Retained 30 Days
E000321,U00090,2025-05-20,Signup
E000322,U00090,2025-05-21,Email Verified
E000323,U00090,2025-05-24,Trial Started
E000324,U00090,2025-05-27,Feature Used
E000325,U00091,2025-05-06,Signup
E000326,U00092,2025-02-22,Signup
E000327,U00092,2025-02-24,Email Verified
E000328,U00092,2025-02-21,Trial Started
E000329,U00092,2025-02-26,Feature Used
E000330,U00092,2025-02-24,Subscription Purchased
E000331,U00093,2025-05-28,Signup
E000332,U00093,2025-06-01,Email Verified
E000333,U00093,2025-06-01,Trial Started
E000334,U00093,2025-06-05,Feature Used
E000335,U00093,2025-06-01,Subscription Purchased
E000336,U00093,2025-06-04,Retained 30 Days
E000337,U00094,2025-03-23,Signup
E000338,U00094,2025-03-24,Email Verified
E000339,U00094,2025-03-23,Trial Started
E000340,U00094,2025-03-26,Feature Used
E000341,U00095,2025-02-14,Signup
E000342,U00095,2025-02-16,Email Verified
E000343,U00095,2025-02-17,Trial Started
E000344,U00095,2025-02-19,Feature Used
E000345,U00095,2025-02-17,Subscription Purchased
E000346,U00095,2025-02-20,Retained 30 Days
E000347,U00096,2025-04-02,Signup
E000348,U00096,2025-04-01,Email Verified
E000349,U00096,2025-03-31,Trial Started
E000350,U00096,2025-04-02,Feature Used
E000351,U00097,2025-04-08,Signup
E000352,U00097,2025-04-05,Email Verified
E000353,U00097,2025-04-07,Trial Started
E000354,U00097,2025-04-08,Feature Used
E000355,U00098,2025-04-06,Signup
E000356,U00098,2025-04-03,Email Verified
E000357,U00098,2025-04-04,Trial Started
E000358,U00099,2025-04-07,Signup
E000359,U00100,2025-04-08,Signup
E000360,U00101,2025-01-25,Signup
E000361,U00102,2025-06-24,Signup
E000362,U00102,2025-06-25,Email Verified
E000363,U00102,2025-06-26,Trial Started
E000364,U00102,2025-06-29,Feature Used
E000365,U00102,2025-06-27,Subscription Purchased
E000366,U00103,2025-02-21,Signup
E000367,U00103,2025-02-25,Email Verified
E000368,U00103,2025-02-25,Trial Started
E000369,U00104,2025-05-11,Signup
E000370,U00104,2025-05-14,Email Verified
E000371,U00104,2025-05-10,Trial Started
E000372,U00104,2025-05-14,Feature Used
E000373,U00105,2025-04-13,Signup
E000374,U00105,2025-04-12,Email Verified
E000375,U00105,2025-04-15,Trial Started
E000376,U00105,2025-04-14,Feature Used
E000377,U00105,2025-04-19,Subscription Purchased
E000378,U00105,2025-04-17,Retained 30 Days
E000379,U00106,2025-06-26,Signup
E000380,U00106,2025-06-27,Email Verified
E000381,U00107,2025-04-25,Signup
E000382,U00107,2025-04-22,Email Verified
E000383,U00107,2025-04-22,Trial Started
E000384,U00108,2025-03-18,Signup
E000385,U00108,2025-03-14,Email Verified
E000386,U00108,2025-03-20,Trial Started
E000387,U00108,2025-03-19,Feature Used
E000388,U00108,2025-03-17,Subscription Purchased
E000389,U00108,2025-03-19,Retained 30 Days
E000390,U00109,2025-05-06,Signup
E000391,U00109,2025-05-11,Email Verified
E000392,U00110,2025-02-22,Signup
E000393,U00111,2025-05-20,Signup
E000394,U00111,2025-05-18,Email Verified
E000395,U00112,2025-04-05,Signup
E000396,U00112,2025-04-08,Email Verified
E000397,U00113,2025-04-02,Signup
E000398,U00113,2025-04-02,Email Verified
E000399,U00113,2025-04-03,Trial Started
E000400,U00113,2025-04-03,Feature Used
E000401,U00113,2025-04-05,Subscription Purchased
E000402,U00113,2025-04-05,Retained 30 Days
E000403,U00114,2025-02-19,Signup
E000404,U00114,2025-02-23,Email Verified
E000405,U00114,2025-02-19,Trial Started
E000406,U00114,2025-02-25,Feature Used
E000407,U00114,2025-02-22,Subscription Purchased
E000408,U00114,2025-02-24,Retained 30 Days
E000409,U00115,2025-06-20,Signup
E000410,U00115,2025-06-17,Email Verified
E000411,U00115,2025-06-22,Trial Started
E000412,U00115,2025-06-20,Feature Used
E000413,U00115,2025-06-20,Subscription Purchased
E000414,U00116,2025-07-01,Signup
E000415,U00116,2025-07-04,Email Verified
E000416,U00116,2025-07-03,Trial Started
E000417,U00116,2025-07-03,Feature Used
E000418,U00116,2025-07-07,Subscription Purchased
E000419,U00116,2025-07-08,Retained 30 Days
E000420,U00117,2025-03-27,Signup
E000421,U00117,2025-03-25,Email Verified
E000422,U00117,2025-03-26,Trial Started
E000423,U00117,2025-03-26,Feature Used
E000424,U00117,2025-03-27,Subscription Purchased
E000425,U00117,2025-03-30,Retained 30 Days
E000426,U00118,2025-04-19,Signup
E000427,U00118,2025-04-20,Email Verified
E000428,U00119,2025-02-01,Signup
E000429,U00119,2025-01-29,Email Verified
E000430,U00119,2025-01-30,Trial Started
E000431,U00119,2025-02-03,Feature Used
E000432,U00119,2025-02-01,Subscription Purchased
E000433,U00119,2025-02-05,Retained 30 Days
E000434,U00120,2025-01-09,Signup
E000435,U00120,2025-01-15,Email Verified
E000436,U00120,2025-01-11,Trial Started
E000437,U00120,2025-01-14,Feature Used
E000438,U00121,2025-04-07,Signup
E000439,U00121,2025-04-05,Email Verified
E000440,U00121,2025-04-07,Trial Started
E000441,U00121,2025-04-11,Feature Used
E000442,U00121,2025-04-10,Subscription Purchased
E000443,U00121,2025-04-14,Retained 30 Days
E000444,U00122,2025-04-13,Signup
E000445,U00122,2025-04-12,Email Verified
E000446,U00122,2025-04-13,Trial Started
E000447,U00122,2025-04-17,Feature Used
E000448,U00122,2025-04-15,Subscription Purchased
E000449,U00122,2025-04-18,Retained 30 Days
E000450,U00123,2025-05-27,Signup
E000451,U00123,2025-05-26,Email Verified
E000452,U00123,2025-05-27,Trial Started
E000453,U00124,2025-03-12,Signup
E000454,U00125,2025-02-12,Signup
E000455,U00125,2025-02-12,Email Verified
E000456,U00126,2025-05-24,Signup
E000457,U00126,2025-05-24,Email Verified
E000458,U00126,2025-05-24,Trial Started
E000459,U00127,2025-07-04,Signup
E000460,U00127,2025-07-02,Email Verified
E000461,U00127,2025-07-02,Trial Started
E000462,U00127,2025-07-05,Feature Used
E000463,U00127,2025-07-03,Subscription Purchased
E000464,U00127,2025-07-09,Retained 30 Days
E000465,U00128,2025-01-26,Signup
E000466,U00128,2025-01-26,Email Verified
E000467,U00128,2025-01-25,Trial Started
E000468,U00128,2025-01-27,Feature Used
E000469,U00128,2025-01-27,Subscription Purchased
E000470,U00128,2025-01-28,Retained 30 Days
E000471,U00129,2025-06-21,Signup
E000472,U00130,2025-06-25,Signup
E000473,U00130,2025-06-26,Email Verified
E000474,U00130,2025-06-28,Trial Started
E000475,U00130,2025-06-27,Feature Used
E000476,U00131,2025-03-13,Signup
E000477,U00131,2025-03-17,Email Verified
E000478,U00131,2025-03-18,Trial Started
E000479,U00132,2025-05-10,Signup
E000480,U00132,2025-05-13,Email Verified
E000481,U00133,2025-05-23,Signup
E000482,U00134,2025-06-12,Signup
E000483,U00134,2025-06-12,Email Verified
E000484,U00134,2025-06-12,Trial Started
E000485,U00135,2025-03-17,Signup
E000486,U00135,2025-03-19,Email Verified
E000487,U00135,2025-03-18,Trial Started
E000488,U00135,2025-03-21,Feature Used
E000489,U00135,2025-03-20,Subscription Purchased
E000490,U00135,2025-03-24,Retained 30 Days
E000491,U00136,2025-01-13,Signup
E000492,U00136,2025-01-12,Email Verified
E000493,U00136,2025-01-12,Trial Started
E000494,U00137,2025-01-20,Signup
E000495,U00137,2025-01-22,Email Verified
E000496,U00137,2025-01-20,Trial Started
E000497,U00137,2025-01-26,Feature Used
E000498,U00138,2025-06-15,Signup
E000499,U00138,2025-06-13,Email Verified
E000500,U00138,2025-06-14,Trial Started
E000501,U00138,2025-06-19,Feature Used
E000502,U00138,2025-06-18,Subscription Purchased
E000503,U00139,2025-04-14,Signup
E000504,U00139,2025-04-18,Email Verified
E000505,U00139,2025-04-18,Trial Started
E000506,U00140,2025-06-26,Signup
E000507,U00140,2025-06-24,Email Verified
E000508,U00140,2025-06-25,Trial Started
E000509,U00140,2025-06-28,Feature Used
E000510,U00140,2025-06-28,Subscription Purchased
E000511,U00140,2025-06-28,Retained 30 Days
E000512,U00141,2025-04-12,Signup
E000513,U00141,2025-04-13,Email Verified
E000514,U00141,2025-04-09,Trial Started
E000515,U00141,2025-04-14,Feature Used
E000516,U00141,2025-04-11,Subscription Purchased
E000517,U00141,2025-04-13,Retained 30 Days
E000518,U00142,2025-04-05,Signup
E000519,U00142,2025-04-07,Email Verified
E000520,U00143,2025-05-14,Signup
E000521,U00143,2025-05-14,Email Verified
E000522,U00143,2025-05-16,Trial Started
E000523,U00143,2025-05-17,Feature Used
E000524,U00144,2025-06-08,Signup
E000525,U00144,2025-06-05,Email Verified
E000526,U00144,2025-06-09,Trial Started
E000527,U00145,2025-05-06,Signup
E000528,U00145,2025-05-05,Email Verified
E000529,U00146,2025-01-11,Signup
E000530,U00147,2025-06-15,Signup
E000531,U00147,2025-06-16,Email Verified
E000532,U00147,2025-06-18,Trial Started
E000533,U00147,2025-06-16,Feature Used
E000534,U00147,2025-06-18,Subscription Purchased
E000535,U00148,2025-01-19,Signup
E000536,U00148,2025-01-20,Email Verified
E000537,U00148,2025-01-19,Trial Started
E000538,U00148,2025-01-19,Feature Used
E000539,U00149,2025-03-05,Signup
E000540,U00150,2025-05-09,Signup
E000541,U00150,2025-05-10,Email Verified
E000542,U00151,2025-03-20,Signup
E000543,U00151,2025-03-23,Email Verified
E000544,U00151,2025-03-25,Trial Started
E000545,U00151,2025-03-24,Feature Used
E000546,U00151,2025-03-28,Subscription Purchased
E000547,U00151,2025-03-25,Retained 30 Days
E000548,U00152,2025-02-23,Signup
E000549,U00152,2025-02-22,Email Verified
E000550,U00153,2025-03-16,Signup
E000551,U00154,2025-04-12,Signup
E000552,U00154,2025-04-14,Email Verified
E000553,U00154,2025-04-14,Trial Started
E000554,U00154,2025-04-15,Feature Used
E000555,U00155,2025-01-04,Signup
E000556,U00155,2025-01-06,Email Verified
E000557,U00155,2025-01-06,Trial Started
E000558,U00155,2025-01-05,Feature Used
E000559,U00155,2025-01-05,Subscription Purchased
E000560,U00155,2025-01-11,Retained 30 Days
E000561,U00156,2025-01-28,Signup
E000562,U00156,2025-01-29,Email Verified
E000563,U00157,2025-05-05,Signup
E000564,U00157,2025-05-06,Email Verified
E000565,U00157,2025-05-04,Trial Started
E000566,U00157,2025-05-05,Feature Used
E000567,U00157,2025-05-08,Subscription Purchased
E000568,U00158,2025-06-04,Signup
E000569,U00158,2025-06-07,Email Verified
E000570,U00158,2025-06-05,Trial Started
E000571,U00158,2025-06-07,Feature Used
E000572,U00158,2025-06-08,Subscription Purchased
E000573,U00158,2025-06-12,Retained 30 Days
E000574,U00159,2025-04-12,Signup
E000575,U00159,2025-04-08,Email Verified
E000576,U00160,2025-05-22,Signup
E000577,U00160,2025-05-18,Email Verified
E000578,U00160,2025-05-24,Trial Started
E000579,U00160,2025-05-23,Feature Used
E000580,U00160,2025-05-25,Subscription Purchased
E000581,U00161,2025-05-24,Signup
E000582,U00161,2025-05-24,Email Verified
E000583,U00161,2025-05-23,Trial Started
E000584,U00162,2025-04-25,Signup
E000585,U00162,2025-04-26,Email Verified
E000586,U00162,2025-04-26,Trial Started
E000587,U00162,2025-04-26,Feature Used
E000588,U00162,2025-04-29,Subscription Purchased
E000589,U00163,2025-01-09,Signup
E000590,U00163,2025-01-08,Email Verified
E000591,U00163,2025-01-13,Trial Started
E000592,U00163,2025-01-11,Feature Used
E000593,U00163,2025-01-12,Subscription Purchased
E000594,U00164,2025-05-22,Signup
E000595,U00164,2025-05-22,Email Verified
E000596,U00164,2025-05-22,Trial Started
E000597,U00164,2025-05-23,Feature Used
E000598,U00165,2025-06-30,Signup
E000599,U00166,2025-02-04,Signup
E000600,U00166,2025-02-05,Email Verified
E000601,U00166,2025-02-02,Trial Started
E000602,U00166,2025-02-06,Feature Used
E000603,U00166,2025-02-04,Subscription Purchased
E000604,U00166,2025-02-06,Retained 30 Days
E000605,U00167,2025-02-05,Signup
E000606,U00167,2025-02-05,Email Verified
E000607,U00167,2025-02-04,Trial Started
E000608,U00168,2025-05-03,Signup
E000609,U00168,2025-05-07,Email Verified
E000610,U00169,2025-01-25,Signup
E000611,U00170,2025-02-26,Signup
E000612,U00170,2025-02-28,Email Verified
E000613,U00170,2025-03-02,Trial Started
E000614,U00170,2025-03-05,Feature Used
E000615,U00171,2025-04-22,Signup
E000616,U00171,2025-04-20,Email Verified
E000617,U00171,2025-04-23,Trial Started
E000618,U00171,2025-04-24,Feature Used
E000619,U00171,2025-04-23,Subscription Purchased
E000620,U00172,2025-01-20,Signup
E000621,U00173,2025-03-03,Signup
E000622,U00173,2025-03-06,Email Verified
E000623,U00173,2025-03-04,Trial Started
E000624,U00173,2025-03-08,Feature Used
E000625,U00174,2025-07-03,Signup
E000626,U00174,2025-06-29,Email Verified
E000627,U00175,2025-02-11,Signup
E000628,U00175,2025-02-13,Email Verified
E000629,U00175,2025-02-09,Trial Started
E000630,U00175,2025-02-13,Feature Used
E000631,U00175,2025-02-13,Subscription Purchased
E000632,U00176,2025-03-30,Signup
E000633,U00176,2025-03-31,Email Verified
E000634,U00177,2025-06-10,Signup
E000635,U00177,2025-06-08,Email Verified
E000636,U00177,2025-06-11,Trial Started
E000637,U00177,2025-06-13,Feature Used
E000638,U00177,2025-06-14,Subscription Purchased
E000639,U00178,2025-03-06,Signup
E000640,U00178,2025-03-03,Email Verified
E000641,U00178,2025-03-05,Trial Started
E000642,U00179,2025-04-07,Signup
E000643,U00179,2025-04-07,Email Verified
E000644,U00179,2025-04-07,Trial Started
E000645,U00179,2025-04-09,Feature Used
E000646,U00179,2025-04-07,Subscription Purchased
E000647,U00179,2025-04-10,Retained 30 Days
E000648,U00180,2025-04-16,Signup
E000649,U00181,2025-06-11,Signup
E000650,U00181,2025-06-10,Email Verified
E000651,U00181,2025-06-15,Trial Started
E000652,U00182,2025-05-15,Signup
E000653,U00183,2025-06-09,Signup
E000654,U00183,2025-06-10,Email Verified
E000655,U00183,2025-06-13,Trial Started
E000656,U00183,2025-06-14,Feature Used
E000657,U00183,2025-06-11,Subscription Purchased
E000658,U00183,2025-06-12,Retained 30 Days
E000659,U00184,2025-03-28,Signup
E000660,U00184,2025-03-30,Email Verified
E000661,U00184,2025-03-28,Trial Started
E000662,U00184,2025-03-31,Feature Used
E000663,U00184,2025-03-31,Subscription Purchased
E000664,U00184,2025-04-02,Retained 30 Days
E000665,U00185,2025-03-18,Signup
E000666,U00185,2025-03-21,Email Verified
